Help;Aide
Anyone can find and access. No sign-in required.;Tous le monde peut trouver et voir. Pas d'authentification requise.
Only people explicitly granted permission can access. Sign-in required.;Seulement les personnes avec une autorisation ont accès. Authentification requise.
Set Private;Rendre Privé
Set Public;Rendre Public
is owner;est propriétaire
can edit;peut modifier
can read;peut voir
Add a permission to ...;Ajouter une autorisation à ...
Owned by me;M'appartenant
Shared to me;Partagés avec moi
Shared to Members;Partagés aux Membres
Remove Item from Folder;Enlever le document du répertoire
My Private Folder;Mon Répertoire Privé
Uploaded Files;Fichiers Uploadés
Name of the item;Nom du document
Upload here;Ajouter des fichiers ici
Privacy;Confidentialité
Private, only member can see the community;Privée, seulement les membres peuvent voir la communauté
Public, everyone can see the community;Public, tout le monde peut voir la communauté
Everyone can join the community;Tout le monde peut rejoindre la communauté
Only invited users can join the community;Seulement les utilisateurs invités peuvent rejoindre la communauté
Last revision content;Contenu de la dernière révision
Upload new revision;Ajouter nouvelle révision
added a new revision to;a ajouté une nouvelle révision à
Uploaded files;Fichiers ajoutés
Who can join the community?;Qui peut rejoindre la communauté?
Send invitation;Envoyer des invitations
Invite the user ...;Inviter l utilisateur ...
has been invited;a été invité
invited you to the community;vous a invité à la communauté
Create top level Folder;Créer un répertoire racine
Use gravatar;Utiliser Gravatar
Step 1: Select files to upload;Etape 1: Sélectionner les fichiers à ajouter
Browse or drop files;Parcourir ou déposer des fichiers
Step 2: Where do you want to upload your files;Etape 2: Où voulez vous ajouter ces fichiers
Step 1: Where do you want to upload your files;Etape 1: Où voulez vous ajouter ces fichiers
Current selected location:;Destination sélèctionnée
Step 3: Select a license;Etape 3 : Sélectionner une lisence
Step 2: Select a license;Etape 2 : Sélectionner une lisence
Step 4: Start the upload;Etape 4 : Lancer l'upload
Step 3: Select files to upload;Etape 3 : Lancer l'upload
Start Upload;Lancer l'upload
Step 1: Set a name;Etape 1: Choisir un nom
Step 2: Set the url;Etape 2: Choisir un url
Step 3: Where do you want to upload your files;Etape 3: Ou voulez vous ajouter des fichiers
Save Link;Sauver Lien
Please use the large file tool, the following files are too big:;Merci d'utiliser l'outil pour ajouter des fichiers volumineux pour les fichiers suivants:
Not registered yet?;Pas encore enregistré?
Register here;Enregistrez vous ici
My profile;Mon profile
My uploads;Mes uploads
Website;Site Internet
City;Ville
Country;Pays
Biography;Biographie
In the same location;Au même endroit
Add in group;Ajouter au groupe
Set as moderator;Promouvoir en tant que modérateur
Remove from community;Retirer de la communauté
Remove from group;Retirer du groupe
Add Metadata;Ajouter Métadonnée
This name is already used;Ce nom est déja utilisé
Starting Guide;Assistant de Démarrage
Name of the folder;Nom du répertoire
Optional;Optionel
Teaser;Courte descriptionMy Language;Ma Langue
Delete the post;Supprimer la publication
Step 3: Set the changes;Etape 3 : Indiquez les changements
View new Revision;Voir nouvelle révision
or;ou
upload a folder;ajouter un répertoire
Please select an item.;Sélectionnez un document.
Or search it...;Ou recherchez le...
upload files;ajouter des fichiers
Don't forget to start the upload.;N'oubliez pas de lancer l'upload.

